,venue,innings,batting_team,bowling_team,total_runs
1016,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Chennai Super Kings,41
1017,"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Kings XI Punjab,46
1018,Brabourne Stadium,1,Rajasthan Royals,Kolkata Knight Riders,66
1019,Brabourne Stadium,2,Kolkata Knight Riders,Rajasthan Royals,51
1020,M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,54
1021,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,2
1022,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Mumbai Indians,29
1023,"Rajiv Gandhi International Stadium, Uppal",2,Mumbai Indians,Sunrisers Hyderabad,38
1024,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,48
1025,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,54
1026,Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,41
1027,Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,40
1028,JSCA International Stadium Complex,1,Royal Challengers Bangalore,Chennai Super Kings,29
1029,JSCA International Stadium Complex,2,Chennai Super Kings,Royal Challengers Bangalore,34
1030,Eden Gardens,1,Mumbai Indians,Chennai Super Kings,61
1031,Eden Gardens,2,Chennai Super Kings,Mumbai Indians,31
1032,Wankhede Stadium,1,Mumbai Indians,Rising Pune Supergiants,37
1033,Wankhede Stadium,2,Rising Pune Supergiants,Mumbai Indians,51
1034,Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,35
1035,Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,47
1036,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Gujarat Lions,52
1037,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Gujarat Lions,Kings XI Punjab,57
1038,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,49
1039,M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,56
1040,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,40
1041,Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,53
1042,Saurashtra Cricket Association Stadium,1,Rising Pune Supergiants,Gujarat Lions,57
1043,Saurashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiants,58
1044,Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,37
1045,Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,28
1046,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,36
1047,"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,36
1048,Wankhede Stadium,1,Mumbai Indians,Gujarat Lions,31
1049,Wankhede Stadium,2,Gujarat Lions,Mumbai Indians,42
1050,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Rising Pune Supergiants,Kings XI Punjab,45
1051,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Rising Pune Supergiants,50
1052,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,63
1053,M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,51
1054,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,40
1055,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,32
1056,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,41
1057,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,65
1058,Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,49
1059,Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,47
1060,Saurashtra Cricket Association Stadium,1,Gujarat Lions,Sunrisers Hyderabad,50
1061,Saurashtra Cricket Association Stadium,2,Sunrisers Hyderabad,Gujarat Lions,63
1062,Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rising Pune Supergiants,44
1063,Maharashtra Cricket Association Stadium,2,Rising Pune Supergiants,Royal Challengers Bangalore,36
1064,Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,40
1065,Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,52
1066,"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Sunrisers Hyderabad,35
1067,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Kings XI Punjab,65
1068,Saurashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Gujarat Lions,50
1069,Saurashtra Cricket Association Stadium,2,Gujarat Lions,Royal Challengers Bangalore,68
1070,Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Kolkata Knight Riders,31
1071,Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Rising Pune Supergiants,59
1072,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,39
1073,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,40
1074,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Rising Pune Supergiants,27
1075,"Rajiv Gandhi International Stadium, Uppal",2,Rising Pune Supergiants,Sunrisers Hyderabad,46
1076,Feroz Shah Kotla,1,Gujarat Lions,Delhi Daredevils,71
1077,Feroz Shah Kotla,2,Delhi Daredevils,Gujarat Lions,22
1078,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,59
1079,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,64
1080,Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Gujarat Lions,48
1081,Maharashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiants,72
1082,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,37
1083,Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,43
1084,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,49
1085,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,45
1086,Saurashtra Cricket Association Stadium,1,Kings XI Punjab,Gujarat Lions,59
1087,Saurashtra Cricket Association Stadium,2,Gujarat Lions,Kings XI Punjab,36
1088,Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Mumbai Indians,54
1089,Maharashtra Cricket Association Stadium,2,Mumbai Indians,Rising Pune Supergiants,47
1090,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,40
1091,M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,37
1092,Saurashtra Cricket Association Stadium,1,Gujarat Lions,Delhi Daredevils,35
1093,Saurashtra Cricket Association Stadium,2,Delhi Daredevils,Gujarat Lions,61
1094,Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,40
1095,Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,37
1096,Feroz Shah Kotla,1,Delhi Daredevils,Rising Pune Supergiants,48
1097,Feroz Shah Kotla,2,Rising Pune Supergiants,Delhi Daredevils,50
1098,"Rajiv Gandhi International Stadium, Uppal",1,Gujarat Lions,Sunrisers Hyderabad,26
1099,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Gujarat Lions,38
1100,M Chinnaswamy Stadium,1,Rising Pune Supergiants,Royal Challengers Bangalore,60
1101,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiants,46
1102,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Delhi Daredevils,45
1103,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Delhi Daredevils,Kings XI Punjab,51
1104,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Mumbai Indians,51
1105,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Sunrisers Hyderabad,32
1106,Eden Gardens,1,Kolkata Knight Riders,Gujarat Lions,28
1107,Eden Gardens,2,Gujarat Lions,Kolkata Knight Riders,46
1108,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,56
1109,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,50
1110,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rising Pune Supergiants,34
1111,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Sunrisers Hyderabad,25
1112,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,25
1113,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,39
1114,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Delhi Daredevils,51
1115,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Sunrisers Hyderabad,49
1116,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Kings XI Punjab,21
1117,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Kings XI Punjab,Mumbai Indians,31
1118,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Gujarat Lions,42
1119,M Chinnaswamy Stadium,2,Gujarat Lions,Royal Challengers Bangalore,40
1120,Eden Gardens,1,Rising Pune Supergiants,Kolkata Knight Riders,37
1121,Eden Gardens,2,Kolkata Knight Riders,Rising Pune Supergiants,66
1122,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Sunrisers Hyderabad,47
1123,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Sunrisers Hyderabad,Kings XI Punjab,55
1124,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Delhi Daredevils,45
1125,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Delhi Daredevils,Mumbai Indians,49
1126,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,51
1127,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,63
1128,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Daredevils,Rising Pune Supergiants,28
1129,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Delhi Daredevils,40
1130,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,63
1131,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,57
1132,Green Park,1,Kolkata Knight Riders,Gujarat Lions,40
1133,Green Park,2,Gujarat Lions,Kolkata Knight Riders,54
1134,Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,46
1135,Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,37
1136,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Kings XI Punjab,Rising Pune Supergiants,52
1137,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Kings XI Punjab,44
1138,Green Park,1,Mumbai Indians,Gujarat Lions,49
1139,Green Park,2,Gujarat Lions,Mumbai Indians,70
1140,Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,48
1141,Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,48
1142,Shaheed Veer Narayan Singh International Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,43
1143,Shaheed Veer Narayan Singh International Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,49
1144,M Chinnaswamy Stadium,1,Gujarat Lions,Royal Challengers Bangalore,23
1145,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Gujarat Lions,31
1146,Feroz Shah Kotla,1,Sunrisers Hyderabad,Kolkata Knight Riders,42
1147,Feroz Shah Kotla,2,Kolkata Knight Riders,Sunrisers Hyderabad,46
1148,Feroz Shah Kotla,1,Gujarat Lions,Sunrisers Hyderabad,38
1149,Feroz Shah Kotla,2,Sunrisers Hyderabad,Gujarat Lions,46
1150,M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,53
1151,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,59
1152,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,59
1153,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,54
1154,Maharashtra Cricket Association Stadium,1,Mumbai Indians,Rising Pune Supergiant,61
1155,Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Mumbai Indians,59
1156,Saurashtra Cricket Association Stadium,1,Gujarat Lions,Kolkata Knight Riders,52
1157,Saurashtra Cricket Association Stadium,2,Kolkata Knight Riders,Gujarat Lions,73
1158,Holkar Cricket Stadium,1,Rising Pune Supergiant,Kings XI Punjab,35
1159,Holkar Cricket Stadium,2,Kings XI Punjab,Rising Pune Supergiant,56
1160,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,41
1161,M.Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,43
1162,"Rajiv Gandhi International Stadium, Uppal",1,Gujarat Lions,Sunrisers Hyderabad,40
1163,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Gujarat Lions,59
1164,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,56
1165,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,48
1166,Holkar Cricket Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,23
1167,Holkar Cricket Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,62
1168,Maharashtra Cricket Association Stadium,1,Delhi Daredevils,Rising Pune Supergiant,61
1169,Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Delhi Daredevils,49
1170,Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,34
1171,Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,61
1172,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,57
1173,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,76
1174,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,41
1175,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,21
1176,Saurashtra Cricket Association Stadium,1,Rising Pune Supergiant,Gujarat Lions,64
1177,Saurashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiant,61
1178,Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,40
1179,Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,45
1180,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,49
1181,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,40
1182,Wankhede Stadium,1,Gujarat Lions,Mumbai Indians,46
1183,Wankhede Stadium,2,Mumbai Indians,Gujarat Lions,56
1184,M Chinnaswamy Stadium,1,Rising Pune Supergiant,Royal Challengers Bangalore,54
1185,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiant,42
1186,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,53
1187,Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,49
1188,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kings XI Punjab,29
1189,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Sunrisers Hyderabad,47
1190,Saurashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Gujarat Lions,45
1191,Saurashtra Cricket Association Stadium,2,Gujarat Lions,Royal Challengers Bangalore,57
1192,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Delhi Daredevils,39
1193,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Sunrisers Hyderabad,56
1194,Holkar Cricket Stadium,1,Kings XI Punjab,Mumbai Indians,46
1195,Holkar Cricket Stadium,2,Mumbai Indians,Kings XI Punjab,81
1196,Eden Gardens,1,Kolkata Knight Riders,Gujarat Lions,65
1197,Eden Gardens,2,Gujarat Lions,Kolkata Knight Riders,72
1198,Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,48
1199,Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,22
1200,Maharashtra Cricket Association Stadium,1,Sunrisers Hyderabad,Rising Pune Supergiant,45
1201,Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Sunrisers Hyderabad,55
1202,Saurashtra Cricket Association Stadium,1,Kings XI Punjab,Gujarat Lions,50
1203,Saurashtra Cricket Association Stadium,2,Gujarat Lions,Kings XI Punjab,50
1204,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,65
1205,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,39
1206,Wankhede Stadium,1,Rising Pune Supergiant,Mumbai Indians,48
1207,Wankhede Stadium,2,Mumbai Indians,Rising Pune Supergiant,44
1208,Maharashtra Cricket Association Stadium,1,Rising Pune Supergiant,Kolkata Knight Riders,57
1209,Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Rising Pune Supergiant,45
1210,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Gujarat Lions,35
1211,M Chinnaswamy Stadium,2,Gujarat Lions,Royal Challengers Bangalore,49
1212,Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,53
1213,Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,47
1214,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Sunrisers Hyderabad,Kings XI Punjab,60
1215,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Sunrisers Hyderabad,59
1216,Maharashtra Cricket Association Stadium,1,Rising Pune Supergiant,Royal Challengers Bangalore,43
1217,Maharashtra Cricket Association Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiant,39
1218,Saurashtra Cricket Association Stadium,1,Gujarat Lions,Mumbai Indians,48
1219,Saurashtra Cricket Association Stadium,2,Mumbai Indians,Gujarat Lions,61
1220,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,25
1221,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,49
1222,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,78
1223,"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,44
1224,Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,52
1225,Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,55
1226,Maharashtra Cricket Association Stadium,1,Gujarat Lions,Rising Pune Supergiant,55
1227,Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Gujarat Lions,43
1228,Feroz Shah Kotla,1,Sunrisers Hyderabad,Delhi Daredevils,66
1229,Feroz Shah Kotla,2,Delhi Daredevils,Sunrisers Hyderabad,62
1230,Eden Gardens,1,Kolkata Knight Riders,Rising Pune Supergiant,41
1231,Eden Gardens,2,Rising Pune Supergiant,Kolkata Knight Riders,70
1232,Feroz Shah Kotla,1,Gujarat Lions,Delhi Daredevils,58
1233,Feroz Shah Kotla,2,Delhi Daredevils,Gujarat Lions,63
1234,M Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,35
1235,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,46
1236,"Rajiv Gandhi International Stadium, Uppal",1,Rising Pune Supergiant,Sunrisers Hyderabad,34
1237,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Rising Pune Supergiant,47
1238,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,56
1239,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,35
1240,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,40
1241,M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,105
1242,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Gujarat Lions,44
1243,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Gujarat Lions,Kings XI Punjab,58
1244,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,36
1245,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,43
1246,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,41
1247,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,61
1248,Green Park,1,Gujarat Lions,Delhi Daredevils,50
1249,Green Park,2,Delhi Daredevils,Gujarat Lions,64
1250,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,71
1251,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,68
1252,Feroz Shah Kotla,1,Delhi Daredevils,Rising Pune Supergiant,54
1253,Feroz Shah Kotla,2,Rising Pune Supergiant,Delhi Daredevils,52
1254,Green Park,1,Gujarat Lions,Sunrisers Hyderabad,61
1255,Green Park,2,Sunrisers Hyderabad,Gujarat Lions,47
1256,Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,51
1257,Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,53
1258,Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Rising Pune Supergiant,32
1259,Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Kings XI Punjab,43
1260,Feroz Shah Kotla,1,Royal Challengers Bangalore,Delhi Daredevils,37
1261,Feroz Shah Kotla,2,Delhi Daredevils,Royal Challengers Bangalore,42
1262,Wankhede Stadium,1,Rising Pune Supergiant,Mumbai Indians,33
1263,Wankhede Stadium,2,Mumbai Indians,Rising Pune Supergiant,42
1264,M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,30
1265,M Chinnaswamy Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,48
1266,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Mumbai Indians,25
1267,M Chinnaswamy Stadium,2,Mumbai Indians,Kolkata Knight Riders,36
1268,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Rising Pune Supergiant,32
1269,"Rajiv Gandhi International Stadium, Uppal",2,Rising Pune Supergiant,Mumbai Indians,38
1270,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,39
1271,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,42
1272,Punjab Cricket Association IS Bindra Stadium,1,Delhi Daredevils,Kings XI Punjab,45
1273,Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Delhi Daredevils,73
1274,Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,52
1275,Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,67
1276,Rajiv Gandhi International Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,48
1277,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,53
1278,MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,64
1279,MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,75
1280,Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Daredevils,51
1281,Sawai Mansingh Stadium,2,Delhi Daredevils,Rajasthan Royals,60
1282,Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,54
1283,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,56
1284,M.Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,50
1285,M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,41
1286,Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,84
1287,Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,53
1288,Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,49
1289,Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,46
1290,M.Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,51
1291,M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,62
1292,Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Chennai Super Kings,75
1293,Punjab Cricket Association IS Bindra Stadium,2,Chennai Super Kings,Kings XI Punjab,53
1294,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,50
1295,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,56
1296,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,60
1297,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,55
1298,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,48
1299,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,53
1300,Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Sunrisers Hyderabad,49
1301,Punjab Cricket Association IS Bindra Stadium,2,Sunrisers Hyderabad,Kings XI Punjab,40
1302,Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Rajasthan Royals,69
1303,Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Chennai Super Kings,35
1304,Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,49
1305,Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,73
1306,M.Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,28
1307,M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,43
1308,Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,27
1309,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,40
1310,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,43
1311,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,43
1312,Arun Jaitley Stadium,1,Kings XI Punjab,Delhi Daredevils,51
1313,Arun Jaitley Stadium,2,Delhi Daredevils,Kings XI Punjab,48
1314,Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,51
1315,Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,22
1316,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,52
1317,M.Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,55
1318,Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,37
1319,Rajiv Gandhi International Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,44
1320,Arun Jaitley Stadium,1,Delhi Daredevils,Kolkata Knight Riders,57
1321,Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Daredevils,51
1322,Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Mumbai Indians,51
1323,Maharashtra Cricket Association Stadium,2,Mumbai Indians,Chennai Super Kings,50
1324,Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,39
1325,Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,43
1326,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,40
1327,M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,51
